molecule_chembl_id,smiles,standard_value,bioactivity_class
CHEMBL562791,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OC3CCC3)n2)cc1,10.0,active
CHEMBL540166,Cc1cc(-c2ccc(S(C)(=O)=O)cc2)nc(NC2CCCCC2)n1,1683.0,active
CHEMBL560013,CS(=O)(=O)c1ccc(-c2cnc(Cc3ccccc3)[n+]([O-])c2-c2ccc(F)cc2)cc1,717.0,active
CHEMBL865,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,208.0,active
CHEMBL1957877,Fc1ccc(/N=C/c2c[nH]c3ccccc23)cc1,17200.0,inactive
CHEMBL1957880,Fc1ccc(/N=C/c2cn(Cc3ccccc3)c3ccccc23)cc1,710.0,active
CHEMBL90447,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCC3)C2)cc1,3.981,active
CHEMBL296384,NS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)cc2)cc1,3.981,active
CHEMBL1077398,CS(=O)(=O)Nc1ccncc1Nc1ccc(Cl)cc1,5930.0,active
CHEMBL1956388,CN(C)c1ccc(-c2nnnn2-c2ccc(S(N)(=O)=O)cc2)cc1,7000.0,active
CHEMBL257491,CCCCCNc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,10000.0,inactive
CHEMBL257493,CS(=O)(=O)c1ccc(-c2nc(NCc3ccc4ccccc4c3)cc(C(F)(F)F)n2)cc1,10000.0,inactive
CHEMBL561005,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OC3CCCCCC3)n2)cc1,10.0,active
CHEMBL552081,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OC3CCCCC3)n2)cc1,10.0,active
CHEMBL564993,Cc1ccc(Oc2nc(-c3ccc(S(C)(=O)=O)cc3)cc(C(F)(F)F)n2)cc1,10.0,active
CHEMBL550537,CC(C)(C)Oc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,33.0,active
CHEMBL560284,CS(=O)(=O)c1ccc(-c2cc(OCC(F)(F)F)nc(NC3CCCCC3)n2)cc1,16.0,active
CHEMBL558728,CCCNc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,5.0,active
CHEMBL551148,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NCc3ccc(F)cc3)n2)cc1,0.28,active
CHEMBL416146,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,554.0,active
CHEMBL549393,CCCCNc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,70.0,active
CHEMBL550126,CCCCOc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,158.0,active
CHEMBL556724,CS(=O)(=O)c1ccc(-c2cnc(Oc3ccccc3)nc2-c2ccc(F)cc2)cc1,4640.0,active
CHEMBL560088,CS(=O)(=O)c1ccc(-c2cnc(Cc3ccccc3O)nc2-c2ccc(F)cc2)cc1,43.0,active
CHEMBL257103,CS(=O)(=O)c1ccc(-c2nc(NC3CCCC3)cc(C(F)(F)F)n2)cc1,475.9,active
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,960.0,active
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,540.0,active
CHEMBL865,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,5.0,active
CHEMBL270263,NS(=O)(=O)c1ccc(/N=C/c2ccc(O)c(O)c2)cc1,2850.0,active
CHEMBL429915,Cc1ccc(/C=N/c2ccc(S(N)(=O)=O)cc2)cc1,4940.0,active
CHEMBL410911,CS(=O)(=O)c1ccc(-c2nc(C(F)(F)F)cc(S(=O)(=O)Cc3ccccc3)n2)cc1,10000.0,inactive
CHEMBL271314,CCN(Cc1ccccc1)c1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,10000.0,inactive
CHEMBL3087871,Cc1ccc2c(c1)oc(=O)n2Cc1cn(-c2ccc(Cl)cc2)nn1,5600.0,active
CHEMBL297008,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,60.0,active
CHEMBL282093,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,10.0,active
CHEMBL43957,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,510.0,active
CHEMBL145598,CCCCCCCCc1ccccc1OC(C)=O,40000.0,inactive
CHEMBL507789,CS(=O)(=O)c1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1,210.0,active
CHEMBL2096834,Cc1cc(=O)c(Oc2ccc(Cl)cc2F)c(-c2ccc([S@@+](C)[O-])cc2)o1,2470.0,active
CHEMBL186632,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(N)(=O)=O)cc2)cc1,0.44,active
CHEMBL386992,NS(=O)(=O)c1ccc(/N=N/c2ccc(O)c(O)c2)cc1,12420.0,inactive
CHEMBL404476,NS(=O)(=O)c1ccc(/C=N/c2ccc(O)cc2)cc1,5090.0,active
CHEMBL408865,CN(C)c1ccc(/N=C/c2ccc(S(N)(=O)=O)cc2)cc1,1950.0,active
CHEMBL1163219,COc1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CCN(CCCOc2cc(F)cc(C3(OC)CCOCC3)c2)C1.Cl,197900.0,inactive
CHEMBL116253,Cc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,284.0,active
CHEMBL40245,Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,19.95,active
CHEMBL324823,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cnccc2O)cc1,1000.0,active
CHEMBL326335,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc3c(c2)OCO3)cc1,6.0,active
CHEMBL264503,CS(=O)(=O)Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccccc1Cl,40000.0,inactive
CHEMBL273340,CC1(O)OC(=O)C(c2cccc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,250.0,active
CHEMBL110660,Cc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)no1,410.0,active
CHEMBL158509,Cc1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(Cl)s2)o1,1200.0,active
CHEMBL326024,Cc1nc(-c2nc(C(F)(F)F)cn2-c2ccc(S(=O)(=O)N(C)C)cc2)co1,4168.69,active
CHEMBL313387,NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CC3(CC3)C2)cc1,1.0,active
CHEMBL407368,Cc1ccc(Nc2c(C)cccc2Cl)c(CC(=O)O)c1,60.0,active
CHEMBL111314,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1F,120.23,active
CHEMBL110418,CS(=O)(=O)c1ccc(-c2cc3c(cc2-c2ccc(F)cc2)COC3)cc1,83.18,active
CHEMBL295032,Cc1cc(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,79.43,active
CHEMBL350940,CS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)nc2C2CCCCC2)cc1,100000.0,inactive
CHEMBL333651,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,11.0,active
CHEMBL117862,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,156.0,active
CHEMBL29472,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)s2)cc1,12.02,active
CHEMBL42549,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc([N+](=O)[O-])c2)cc1,575.44,active
CHEMBL327900,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCCC3)C2)cc1,61.66,active
CHEMBL118936,CS(=O)(=O)c1ccc(-c2cnc(C=O)n2-c2ccc(F)cc2)cc1,1000.0,active
CHEMBL2111539,CS(=O)(=O)c1ccc(-c2cc(/C=C\CC[N+](=O)[O-])nn2C2CCCCC2)cc1,500.0,active
CHEMBL97874,COc1ccc(-c2cscc2-c2ccc(S(N)(=O)=O)cc2)cc1F,9.0,active
CHEMBL195550,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)S(=O)OC2)cc1,100000.0,inactive
CHEMBL171417,CS(=O)(=O)c1ccc(-c2cc3ccccc3cc2-c2ccccc2)cc1,41000.0,inactive
CHEMBL5430378,Nc1c(C(=O)N/N=C/c2ccc(O)cc2)cnn1-c1ccc(S(N)(=O)=O)cc1,60.0,active
CHEMBL416394,COc1cc(-c2ccccc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,100000.0,inactive
CHEMBL29766,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c(F)c2-c2ccccc2)cc1,1.7,active
CHEMBL3309451,CS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)CC2c2ccc3c(c2)OCCO3)cc1,240.0,active
CHEMBL145257,CS(=O)(=O)Nc1cc2c(cc1S(=O)(=O)c1ccc(F)cc1F)C(=O)CC2,10000.0,inactive
CHEMBL308682,CC(C)(O)c1cc(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccc(F)cc2)s1,410.0,active
CHEMBL3325733,Cc1nn(-c2ccccc2)c(N(C)C)c1/C=N/Nc1nc2ccccc2nc1O,400.0,active
CHEMBL324863,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1Cl,140.0,active
CHEMBL319766,CCOc1cccc(NC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)c1,650.0,active
CHEMBL5193344,C/C(=C\CC/C(C)=C/CCCC1(O)Oc2ccc(O)cc2C1=O)CO,1380.0,active
CHEMBL5177548,C/C(=C\CC/C(C)=C/C/C=C(/CC(=O)c1cc(O)ccc1O)C(=O)O)CO,4840.0,active
CHEMBL3735601,CS(=O)(=O)c1ccc(C2=NN(c3ccc(C(=O)O)cc3)C(c3cccs3)C2)cc1,1160.0,active
CHEMBL417254,CC(C)(C)c1cc(C(=O)CSCC2CC2)cc2c1OCC2(C)C,400.0,active
CHEMBL97834,COc1ccc2c(c1)c(CC(=O)N(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,18000.0,inactive
CHEMBL95311,COc1ccc2c(c1)c(CC(=O)NCCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,60.0,active
CHEMBL110401,CC1(C)OC(=O)C(Oc2ccc(F)c(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,10.0,active
CHEMBL282242,CS(=O)(=O)c1ccc(C2=C(c3cc(Br)ccn3)C(=O)CC2)cc1,630.0,active
CHEMBL407577,Nc1cccnc1NC(=O)c1cccc(C(F)(F)F)c1,100000.0,inactive
CHEMBL185420,CS(=O)(=O)c1ccc(-c2ccc(F)c(F)c2-c2ccc(F)c(Cl)c2)cc1,10.0,active
CHEMBL295068,Cc1ccc(N2CC(c3ccc(S(C)(=O)=O)cc3)=C(c3ccc(F)cc3)C2=O)cc1,1050.0,active
CHEMBL339221,CS(=O)(=O)c1ccc(-c2[nH]c(Cl)c(Br)c2-c2ccc(F)cc2)cc1,88000.0,inactive
CHEMBL319825,COc1ccc2c(c1)c(CC(=O)Oc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,400.0,active
CHEMBL339222,CC(C)(C)OC(=O)n1c(Br)cc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,300000.0,inactive
CHEMBL433756,COc1ccc(Oc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,1600.0,active
CHEMBL359563,Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Oc1ccc(F)cc1F,4100.0,active
CHEMBL5078677,COc1ccc(NC(=O)c2ccccc2Nc2ccccc2)cc1,150000.0,inactive
CHEMBL283086,Cc1nn(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccccc2)c1Cl,28.0,active
