molecule_chembl_id,smiles,standard_value,bioactivity_class,descriptors,MolWt,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,MolLogP
CHEMBL5079967,CCOC(=O)Cn1nncc1CO[C@@H](C(=O)OCC)[C@@H](OCc1cnnn1CC(=O)OCC)C(=O)OCC,100.0,active,"{0, -0.40739999999999577, 16, 17, 185.07999999999998, 540.5300000000003}",0.0,-0.40739999999999577,16.0,17.0,185.07999999999998,540.5300000000003
CHEMBL74276,COc1ccc(C(=O)c2ccccc2)cc1C(C)C(=O)O,2800.0,active,"{1, 3, 3.114300000000001, 5, 284.31100000000004, 63.60000000000001}",1.0,3.0,3.114300000000001,5.0,284.31100000000004,63.60000000000001
CHEMBL3322402,COc1ccc(C2=NCCN2c2ccc(S(C)(=O)=O)cc2)cc1F,10000.0,inactive,"{0, 2.504600000000001, 4, 5, 58.97, 348.39900000000006}",0.0,2.504600000000001,4.0,5.0,58.97,348.39900000000006
CHEMBL3322398,CC1CN(c2ccc(S(C)(=O)=O)cc2)C(c2cccc(Br)c2)=N1,10000.0,inactive,"{0, 3, 4, 3.507900000000003, 393.306, 49.74}",0.0,3.0,4.0,3.507900000000003,393.306,49.74
CHEMBL3322407,CS(=O)(=O)c1ccc(N2CCN=C2c2ccc(Cl)c(C(F)(F)F)c2)cc1,3600.0,active,"{0, 3, 4, 4.029100000000003, 49.74, 402.825}",0.0,3.0,4.0,4.029100000000003,49.74,402.825
CHEMBL4858695,O=c1cc(CSc2nnc(CSc3nc4cc(Cl)ccc4o3)o2)c2c(ccc3ccccc32)o1,17.7,active,"{0, 6, 6.708400000000003, 9, 507.9800000000003, 95.16}",0.0,6.0,6.708400000000003,9.0,507.9800000000003,95.16
CHEMBL3735352,CS(=O)(=O)c1ccc(C2=NN(c3ccc(S(N)(=O)=O)cc3)C(c3cccs3)C2)cc1,1750.0,active,"{1, 3.154700000000002, 5, 7, 461.5900000000002, 109.9}",1.0,3.154700000000002,5.0,7.0,461.5900000000002,109.9
CHEMBL356997,CC(C)c1ccc(Sc2cc3c(cc2NS(C)(=O)=O)CCC3=O)cc1,10000.0,inactive,"{1, 4, 5, 4.461600000000003, 375.5150000000002, 63.24}",1.0,4.0,5.0,4.461600000000003,375.5150000000002,63.24
CHEMBL92154,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,1.1,active,"{0, 2, 3, 34.14, 4.714000000000004, 342.4350000000002}",0.0,2.0,3.0,34.14,4.714000000000004,342.4350000000002
CHEMBL29942,COc1ccccc1-c1cc(C(F)(F)F)nn1-c1ccc(S(N)(=O)=O)cc1,288.4,active,"{1, 3.2141, 4, 5, 397.37800000000004, 87.21000000000001}",1.0,3.2141,4.0,5.0,397.37800000000004,87.21000000000001
CHEMBL327384,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CC3(CC3)C2)cc1,1.0,active,"{0, 2, 3, 34.14, 5.2283000000000035, 358.8900000000002}",0.0,2.0,3.0,34.14,5.2283000000000035,358.8900000000002
CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,62500.0,inactive,"{1, 2, 3, 1.3101, 180.15899999999996, 63.60000000000001}",1.0,2.0,3.0,1.3101,180.15899999999996,63.60000000000001
CHEMBL326577,CS(=O)(=O)c1ccc(-n2cnc(Br)c2-c2ccc(F)cc2)cc1,36.0,active,"{0, 3, 4, 3.844400000000002, 395.2530000000001, 51.96}",0.0,3.0,4.0,3.844400000000002,395.2530000000001,51.96
CHEMBL4871538,Cc1cc(-c2cccc(Cl)c2)nn1S(=O)(=O)Oc1ccccc1,110.0,active,"{0, 3.6838200000000016, 4, 5, 348.81100000000004, 61.19}",0.0,3.6838200000000016,4.0,5.0,348.81100000000004,61.19
CHEMBL3322422,NS(=O)(=O)c1ccc(N2CCN=C2c2ccc(Cl)c(C(F)(F)F)c2)cc1,1800.0,active,"{1, 3, 4, 3.2730000000000015, 75.76, 403.813}",1.0,3.0,4.0,3.2730000000000015,75.76,403.813
CHEMBL3322417,COc1ccc(C2=NCCN2c2ccc(S(N)(=O)=O)cc2)cc1F,9500.0,active,"{1, 1.7485, 4, 5, 84.98999999999998, 349.38700000000006}",1.0,1.7485,4.0,5.0,84.98999999999998,349.38700000000006
CHEMBL270351,NS(=O)(=O)c1ccc(-c2nc(NCc3csc4ccccc34)cc(C(F)(F)F)n2)cc1,10000.0,inactive,"{97.97000000000001, 2, 4.636600000000002, 5, 6, 464.4940000000001}",97.97000000000001,2.0,4.636600000000002,5.0,6.0,464.4940000000001
CHEMBL2398538,COc1ccc(-c2cn(Cc3ccc(S(N)(=O)=O)cc3)nn2)cc1,13000.0,inactive,"{1, 1.6494, 100.1, 5, 6, 344.396}",1.0,1.6494,100.1,5.0,6.0,344.396
CHEMBL2398534,NS(=O)(=O)c1ccc(Cn2cc(-c3ccccc3)nn2)cc1,6500.0,active,"{1, 1.6407999999999998, 4, 90.87, 5, 314.37}",1.0,1.6407999999999998,4.0,90.87,5.0,314.37
CHEMBL18264,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1,230.0,active,"{0, 2.8359000000000005, 3, 4, 60.44, 350.3420000000001}",0.0,2.8359000000000005,3.0,4.0,60.44,350.3420000000001
CHEMBL110382,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cc(Br)cs2)cc1,25.7,active,"{0, 3, 451.28900000000004, 5, 4.785600000000002, 51.96}",0.0,3.0,451.28900000000004,5.0,4.785600000000002,51.96
CHEMBL116848,CS(=O)(=O)c1ccc(-n2cnc(Cc3ccccc3)c2-c2ccc(F)cc2)cc1,10000.0,inactive,"{0, 4, 5, 4.672700000000004, 51.96, 406.4820000000001}",0.0,4.0,5.0,4.672700000000004,51.96,406.4820000000001
CHEMBL294715,NS(=O)(=O)c1ccc(-c2ccccc2-c2ccc(F)cc2)cc1,61.0,active,"{1, 2, 3, 3.807100000000002, 327.38, 60.160000000000004}",1.0,2.0,3.0,3.807100000000002,327.38,60.160000000000004
CHEMBL160820,CCCCCCCCCCCCCCCc1cccc(OC)c1CSc1nc2ccccc2[nH]1,10000.0,inactive,"{480.76200000000017, 1, 3, 37.91, 9.497499999999999, 18}",480.76200000000017,1.0,3.0,37.91,9.497499999999999,18.0
CHEMBL3289926,CCOC(OCC)c1ccc(/C=C2\CNC/C(=C\c3ccc(C(OCC)OCC)cc3)C2=O)cc1,27650.0,inactive,"{1, 66.02000000000001, 5.469100000000005, 6, 12, 479.6170000000003}",1.0,66.02000000000001,5.469100000000005,6.0,12.0,479.6170000000003
CHEMBL3290196,O=C(/C=C/c1ccc(N2CCCC2)cc1)C1CCc2ccccc2C1=O,61230.0,inactive,"{0, 3, 4, 37.38, 4.314400000000004, 345.442}",0.0,3.0,4.0,37.38,4.314400000000004,345.442
CHEMBL42094,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(C(F)(F)F)c2)cc1,210.0,active,"{0, 3, 4, 4.980400000000002, 434.36100000000005, 51.96}",0.0,3.0,4.0,4.980400000000002,434.36100000000005,51.96
CHEMBL126683,Cc1cc(=O)c(Oc2ccc(I)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,410.0,active,"{0, 482.2950000000002, 4, 5, 4.415620000000003, 73.58000000000001}",0.0,482.2950000000002,4.0,5.0,4.415620000000003,73.58000000000001
CHEMBL125460,Cc1cc(=O)c(Oc2ccc(Br)cc2F)c(-c2ccc(S(C)(=O)=O)cc2)o1,150.0,active,"{0, 4, 5, 453.2850000000002, 4.712620000000004, 73.58000000000001}",0.0,4.0,5.0,453.2850000000002,4.712620000000004,73.58000000000001
CHEMBL3397716,CCCC/C(=C\c1cc(OCc2ccc(Cl)c(Cl)c2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,10000.0,inactive,"{1, 3, 8.828400000000004, 553.4040000000002, 11, 55.760000000000005}",1.0,3.0,8.828400000000004,553.4040000000002,11.0,55.760000000000005
CHEMBL3309819,CS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)CC2c2cccc3c2OCCO3)cc1,210.0,active,"{0, 3, 68.2, 3.7310000000000025, 6, 426.41600000000017}",0.0,3.0,68.2,3.7310000000000025,6.0,426.41600000000017
CHEMBL3309818,CS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)CC2c2ccc3c(c2)OCO3)cc1,140.0,active,"{0, 3, 68.2, 3.688500000000002, 6, 412.3890000000001}",0.0,3.0,68.2,3.688500000000002,6.0,412.3890000000001
CHEMBL416989,CSc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,350.0,active,"{0, 4, 5, 4.683500000000004, 51.96, 412.4580000000001}",0.0,4.0,5.0,4.683500000000004,51.96,412.4580000000001
CHEMBL48073,CCC(O)(CC)[C@H](C)Oc1ncc(C(F)(F)F)cc1-c1ccc(S(C)(=O)=O)cc1,4700.0,active,"{1, 4.4893000000000045, 5, 7, 76.49000000000001, 431.4760000000001}",1.0,4.4893000000000045,5.0,7.0,76.49000000000001,431.4760000000001
CHEMBL3322421,NS(=O)(=O)c1ccc(N2CCN=C2c2ccc(Cl)c(Cl)c2)cc1,300.0,active,"{1, 2.9076000000000013, 3, 4, 75.76, 370.26099999999997}",1.0,2.9076000000000013,3.0,4.0,75.76,370.26099999999997
CHEMBL67659,CS(=O)(=O)c1ccc(-c2nn(CCc3ccccc3)c(C(F)(F)F)c2-c2ccc(F)cc2)cc1,45.0,active,"{0, 4, 6, 6.021200000000005, 488.5060000000001, 51.96}",0.0,4.0,6.0,6.021200000000005,488.5060000000001,51.96
CHEMBL4791577,C/C(=N\NC(N)=S)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,50.0,active,"{-0.2196799999999992, 353.43300000000016, 3, 4, 7, 141.28}",-0.2196799999999992,353.43300000000016,3.0,4.0,7.0,141.28
CHEMBL279265,COc1ccc2c(c1)c(CC(=O)N[C@H](CO)CC(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,170.0,active,"{2, 4.365920000000004, 5, 456.97000000000014, 8, 80.56}",2.0,4.365920000000004,5.0,456.97000000000014,8.0,80.56
CHEMBL332169,Cc1nc2c(-c3ccc(F)cc3)c(-c3ccc(S(C)(=O)=O)cc3)nn2c(C)c1C,192.0,active,"{0, 64.33, 3, 4.531160000000004, 5, 409.48600000000016}",0.0,64.33,3.0,4.531160000000004,5.0,409.48600000000016
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1000.0,active,"{1, 3, 4, 3.5139200000000006, 77.98, 381.3790000000001}",1.0,3.0,4.0,3.5139200000000006,77.98,381.3790000000001
CHEMBL338097,COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(F)c2)cc1,13500.0,inactive,"{1, 3.353200000000001, 4, 5, 87.21000000000001, 415.3680000000001}",1.0,3.353200000000001,4.0,5.0,87.21000000000001,415.3680000000001
CHEMBL108512,CC1(C)OC(=O)C(Oc2ccc3sccc3c2)=C1c1ccc(S(C)(=O)=O)cc1,20.0,active,"{0, 4, 69.67, 6, 4.430300000000004, 414.5040000000002}",0.0,4.0,69.67,6.0,4.430300000000004,414.5040000000002
CHEMBL376246,NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(OCCCO[N+](=O)[O-])c(F)c2)cc1,16000.0,inactive,"{1, 2.9564000000000012, 8, 9, 139.58, 470.86600000000027}",1.0,2.9564000000000012,8.0,9.0,139.58,470.86600000000027
CHEMBL5089985,COc1ccc(NC(=O)c2ccccc2Nc2cccc(Cl)c2C)c(OC)c1,115070.0,inactive,"{2, 4, 5.661520000000003, 6, 396.87400000000014, 59.59}",2.0,4.0,5.661520000000003,6.0,396.87400000000014,59.59
CHEMBL92793,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccncc2)cc1,7000.0,active,"{0, 3, 4, 3.8675000000000024, 344.82300000000004, 59.92}",0.0,3.0,4.0,3.8675000000000024,344.82300000000004,59.92
CHEMBL148708,CS(=O)(=O)c1ccc(-c2c(-c3ccc(Cl)cc3)nc3sc(Cl)cn23)cc1,16.0,active,"{0, 3, 5, 5.440100000000003, 423.34600000000006, 51.44}",0.0,3.0,5.0,5.440100000000003,423.34600000000006,51.44
CHEMBL237111,CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)O,40000.0,inactive,"{512.7310000000004, 1, 2, 4, 6.839300000000008, 80.67}",512.7310000000004,1.0,2.0,4.0,6.839300000000008,80.67
CHEMBL276324,NS(=O)(=O)c1ccc(-c2sc(COc3cc(Cl)cc(Cl)c3)nc2-c2ccc(F)cc2)cc1,9.0,active,"{1, 5, 6, 6.1494000000000035, 82.28, 509.4110000000001}",1.0,5.0,6.0,6.1494000000000035,82.28,509.4110000000001
CHEMBL5266071,COc1cc(C2CC(c3cccc(-n4cnnn4)c3)=NN2)cc(OC)c1OC,39.0,active,"{1, 2.1268000000000002, 6, 9, 380.4080000000002, 95.68}",1.0,2.1268000000000002,6.0,9.0,380.4080000000002,95.68
CHEMBL5283644,COc1ccc(/C=C/C(=O)c2cccc(-n3cnnn3)c2)cc1OC,100.0,active,"{0, 2.5756000000000006, 6, 7, 79.13000000000001, 336.35100000000006}",0.0,2.5756000000000006,6.0,7.0,79.13000000000001,336.35100000000006
CHEMBL5279361,CC(=O)Oc1cc2oc(-c3ccc(C)cc3)cc2cc1-c1c[se]nn1,50.0,active,"{0, 65.22, 3, 3.847520000000003, 5, 397.29200000000003}",0.0,65.22,3.0,3.847520000000003,5.0,397.29200000000003
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,2270.0,active,"{1, 3, 4, 3.5139200000000006, 77.98, 381.3790000000001}",1.0,3.0,4.0,3.5139200000000006,77.98,381.3790000000001
CHEMBL5270594,CCCCNc1cc(C(=O)N/N=c2\scc(-c3ccc(OC)cc3)n2-c2ccccc2)cc(S(N)(=O)=O)c1Oc1ccccc1,1520.0,active,"{3, 643.7910000000002, 6.111800000000004, 9, 137.04, 12}",3.0,643.7910000000002,6.111800000000004,9.0,137.04,12.0
CHEMBL5287239,CCCCNc1cc(C(=O)N/N=c2\scc(-c3ccc(Cl)cc3)n2-c2ccc(Br)cc2)cc(S(N)(=O)=O)c1Oc1ccccc1,1520.0,active,"{3, 7.519100000000005, 8, 11, 727.1060000000001, 127.80999999999999}",3.0,7.519100000000005,8.0,11.0,727.1060000000001,127.80999999999999
CHEMBL5288740,CS(=O)(=O)c1ccc(-n2cc(-c3ccc(C(F)(F)F)cc3)nn2)cc1,226.0,active,"{0, 64.85, 3, 3.356600000000002, 5, 367.35200000000003}",0.0,64.85,3.0,3.356600000000002,5.0,367.35200000000003
CHEMBL5276292,Nc1c(C(=O)N/N=C/c2ccc(Br)cc2)sc2nc(-c3ccc(Cl)cc3)cc(-c3cccs3)c12,104.0,active,"{2, 5, 6, 7.453800000000004, 80.37, 567.9210000000002}",2.0,5.0,6.0,7.453800000000004,80.37,567.9210000000002
CHEMBL5274992,CCOP(=O)(OCC)C(NC(=O)c1cc(-c2cccc3ccccc23)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1OC,220.0,active,"{2, 6.043200000000005, 648.6780000000001, 9, 12, 151.84}",2.0,6.043200000000005,648.6780000000001,9.0,12.0,151.84
CHEMBL5278337,CCOP(=O)(OCC)C(NC(=O)c1cc(-c2cccc3ccccc23)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccc(OC)cc1,220.0,active,"{2, 6.043200000000005, 648.6780000000001, 9, 12, 151.84}",2.0,6.043200000000005,648.6780000000001,9.0,12.0,151.84
CHEMBL271551,CS(=O)(=O)c1ccc(-c2nc(NCc3ccco3)cc(C(F)(F)F)n2)cc1,140.0,active,"{1, 3.7710000000000026, 5, 6, 397.37800000000004, 85.09}",1.0,3.7710000000000026,5.0,6.0,397.37800000000004,85.09
CHEMBL272626,CS(=O)(=O)c1ccc(-c2nc(NCc3ccccn3)cc(C(F)(F)F)n2)cc1,10000.0,inactive,"{1, 3.573000000000002, 5, 6, 84.84, 408.40500000000003}",1.0,3.573000000000002,5.0,6.0,84.84,408.40500000000003
CHEMBL271338,CS(=O)(=O)c1ccc(-c2nc(NCc3cccs3)cc(C(F)(F)F)n2)cc1,2.1,active,"{1, 4.239500000000003, 5, 6, 71.95, 413.446}",1.0,4.239500000000003,5.0,6.0,71.95,413.446
CHEMBL404362,CCc1c(NCc2ccc(F)cc2)nc(-c2ccc(S(C)(=O)=O)cc2)nc1C(F)(F)F,102.8,active,"{1, 4.879500000000003, 5, 453.46100000000007, 6, 71.95}",1.0,4.879500000000003,5.0,453.46100000000007,6.0,71.95
CHEMBL272678,Cc1c(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)nc1C(F)(F)F,38.2,active,"{1, 4.547920000000002, 5, 6, 71.95, 427.47300000000007}",1.0,4.547920000000002,5.0,6.0,71.95,427.47300000000007
CHEMBL271549,COCCOc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,2.4,active,"{1, 419.52800000000013, 3.2459000000000024, 8, 9, 90.41000000000001}",1.0,419.52800000000013,3.2459000000000024,8.0,9.0,90.41000000000001
